,m01ab
0,m01ab
1,0
2,8
3,2
4,4
5,5
6,0
7,5.33
8,7
9,5
10,5
11,2
12,7.34
13,6
14,4
15,6
16,2
17,1
18,4.33
19,6
20,2
21,7
22,4
23,4.67
24,6
25,4.33
26,4.34
27,6
28,5.33
29,3.02
30,1
31,4.33
32,7
33,5
34,1.33
35,3
36,3.33
37,2.66
38,3.33
39,4
40,5
41,10
42,9
43,4.33
44,4
45,1
46,0
47,7.34
48,7.34
49,3.33
50,7
51,6
52,7
53,1
54,7
55,5
56,5
57,3
58,7
59,6.34
60,3.34
61,4
62,5.34
63,3.34
64,3
65,4
66,4.34
67,1
68,6.68
69,6
70,6.34
71,2.31
72,4.34
73,4
74,2.68
75,8.68
76,8
77,4
78,3
79,6
80,3.34
81,6.34
82,5.68
83,4
84,2.34
85,4
86,2.67
87,4
88,3
89,5.34
90,4.34
91,2
92,1
93,3
94,2
95,2
96,6.34
97,4.34
98,6
99,3.33
100,6
101,7.02
102,3
103,1.34
104,4.34
105,2
106,5.34
107,7
108,7.34
109,0
110,1.34
111,5.34
112,6.34
113,2
114,3
115,4.34
116,4
117,1.34
118,3.33
119,4.34
120,0
121,7.34
122,4
123,1.67
124,3
125,7.34
126,3.33
127,2
128,2
129,5
130,2
131,4.34
132,3.68
133,1
134,2.34
135,5.34
136,2.34
137,3.34
138,8.34
139,1
140,2
141,3.68
142,5
143,3
144,2
145,2.68
146,0
147,1.34
148,4
149,3.02
150,5.67
151,1
152,4
153,3
154,1
155,0.34
156,5
157,9
158,1
159,6.33
160,8.68
161,4.34
162,4.34
163,1
164,4
165,0.34
166,4.34
167,5
168,2
169,3
170,7.34
171,6
172,4
173,2.34
174,3
175,8
176,3
177,4.34
178,0.34
179,0
180,6
181,4.34
182,3
183,2.33
184,4.34
185,3.34
186,4
187,2
188,6.34
189,3
190,2.33
191,2
192,8.34
193,2
194,5
195,3.34
196,4
197,2
198,9
199,7.33
200,3
201,3
202,5
203,2.67
204,5.34
205,5
206,4
207,3
208,2
209,2.34
210,0.68
211,3
212,2
213,5
214,5
215,4
216,2
217,6
218,3.34
219,5.02
220,4
221,4
222,8
223,0
224,1.34
225,4
226,4.34
227,8
228,0.34
229,4.34
230,11.34
231,5.34
232,3
233,6.34
234,3
235,3
236,4.01
237,2.34
238,3.34
239,2.34
240,6.34
241,3.68
242,0
243,3.34
244,2.34
245,7
246,5.68
247,4
248,5.34
249,2
250,1
251,6.34
252,4.34
253,0
254,2.68
255,3
256,1.34
257,1.34
258,4
259,2.34
260,3
261,2
262,4.34
263,1
264,3.34
265,3
266,6
267,4.68
268,4
269,4
270,0.34
271,7
272,10
273,2.34
274,2
275,4.33
276,4.68
277,2
278,5.34
279,3
280,3.68
281,1
282,4.34
283,3.34
284,3
285,1.68
286,3
287,1.33
288,6.775
289,3
290,4
291,3.33
292,3.34
293,2.34
294,3.33
295,1.34
296,3.67
297,2.33
298,3.34
299,8.34
300,4
301,5
302,0
303,2
304,2.33
305,4
306,7
307,6.33
308,0
309,6
310,6
311,12
312,3.34
313,1
314,8
315,3
316,8
317,5.34
318,4.33
319,2
320,9
321,2.67
322,1.34
323,4
324,1.34
325,6
326,4
327,4
328,5.36
329,3
330,7
331,3.02
332,3
333,5.68
334,4.34
335,6.99
336,4
337,3
338,2.02
339,3.34
340,5
341,1
342,1
343,3.34
344,2.34
345,6.34
346,1
347,10
348,5.34
349,6.34
350,3
351,5
352,0
353,1
354,4.33
355,3.34
356,10.5
357,1
358,8.34
359,3.33
360,7.33
361,2.34
362,2.33
363,9
364,5.67
365,0
366,6
367,9
368,4.68
369,2.34
370,3
371,0
372,2
373,3
374,6
375,3
376,2.33
377,10.34
378,3
379,6.67
380,6.33
381,6.68
382,4
383,5.34
384,4.34
385,4
386,4
387,3.67
388,4.34
389,4
390,8.5
391,2.67
392,3
393,4.34
394,1
395,8.34
396,4.34
397,6
398,3.33
399,2.34
400,2
401,3.33
402,2
403,1.34
404,3.33
405,3.66
406,3
407,3
408,6.01
409,4.33
410,11.68
411,3.01
412,5.33
413,1
414,2
415,5.33
416,3
417,2
418,5
419,3.68
420,7
421,6
422,6.33
423,6.34
424,9
425,6.67
426,8
427,9.68
428,6
429,2
430,3.33
431,6
432,2
433,1.34
434,11
435,2.68
436,4
437,2.66
438,3.34
439,8
440,5
441,7.33
442,2
443,1
444,10.33
445,8.34
446,2
447,4
448,3.68
449,5
450,3
451,1.33
452,6
453,6.33
454,5
455,6.34
456,5
457,5.33
458,3.67
459,3.34
460,7.33
461,6
462,4
463,1.33
464,9.84
465,11.68
466,0
467,6.67
468,4.66
469,2
470,2.34
471,9.33
472,7.33
473,9.32
474,3
475,6.33
476,1.33
477,4
478,10
479,5
480,7
481,3
482,4.33
483,2
484,3
485,5.34
486,5
487,6.67
488,4
489,3.34
490,4.66
491,2
492,1
493,3.66
494,3.34
495,3.33
496,7.33
497,8
498,3
499,3.34
500,5
501,5
502,7
503,3
504,5.67
505,6
506,3
507,5.68
508,5.33
509,9.66
510,7.34
511,4
512,6
513,6.33
514,14
515,3
516,4.66
517,8.33
518,5
519,2.33
520,5
521,3.68
522,6.34
523,6
524,3
525,4.34
526,6
527,1.67
528,2.33
529,5
530,4
531,7
532,3.66
533,3
534,5.33
535,9.34
536,9.34
537,5.17
538,4.67
539,3.83
540,6.33
541,7.17
542,7.33
543,5.34
544,5.68
545,1
546,8.83
547,3
548,5.5
549,7.35
550,5
551,5.5
552,4.84
553,2
554,2.34
555,5.5
556,4
557,6.33
558,3.68
559,0.34
560,8.49
561,8.34
562,2.5
563,3.68
564,11.68
565,5.84
566,4.68
567,9.33
568,1.5
569,6
570,4
571,5
572,7.34
573,14.18
574,10.34
575,3
576,5.5
577,5
578,5
579,1.5
580,6.34
581,5
582,5.33
583,4.33
584,6.33
585,5
586,3.67
587,12.33
588,8.67
589,8
590,3
591,3.34
592,2
593,8
594,6.01
595,6.33
596,3.5
597,6
598,2.34
599,8.99
600,8.5
601,2.34
602,2.67
603,9.33
604,7
605,10.84
606,11
607,4
608,8.18
609,5.33
610,1.34
611,3.34
612,8.83
613,8.33
614,4.34
615,2.67
616,2
617,6
618,11.33
619,4.66
620,7.33
621,4.68
622,3.33
623,0.67
624,9.83
625,3.34
626,6.83
627,9.99
628,2
629,6.99
630,6.16
631,2.99
632,4.83
633,12.42
634,5.83
635,1
636,6.33
637,5.32
638,9.66
639,5
640,10.34
641,7
642,5
643,5.69
644,7.33
645,8.82
646,2
647,6.16
648,10.33
649,9.66
650,3.83
651,4.66
652,5.16
653,1.67
654,10.34
655,7.34
656,12
657,3.34
658,8.66
659,4.33
660,7
661,9.84
662,3
663,9
664,4.33
665,1
666,2.33
667,5.33
668,5.66
669,2.33
670,4.66
671,1.34
672,8.5
673,4.33
674,3.33
675,4
676,6.33
677,3.66
678,6.33
679,9.66
680,6
681,5
682,4.99
683,1.33
684,5.67
685,6.34
686,6.34
687,2
688,5.66
689,4
690,2
691,3
692,5
693,5.66
694,4.33
695,0.67
696,6.33
697,6.66
698,7.33
699,1.99
700,1
701,4
702,3.33
703,8
704,5.67
705,3
706,2
707,3.34
708,11.66
709,5.84
710,6.34
711,9.33
712,5
713,4.99
714,6.67
715,9
716,4.33
717,0
718,3
719,5
720,5.66
721,3.33
722,7.33
723,0.66
724,4.67
725,5.33
726,4
727,10.67
728,6.66
729,7.66
730,0
731,0.34
732,4
733,7.33
734,5.33
735,6.66
736,0
737,8
738,7.33
739,7
740,9.34
741,12
742,9
743,2
744,8.98
745,3.34
746,7.01
747,3.5
748,6
749,2.32
750,5
751,0.83
752,6.33
753,4
754,10.33
755,5.68
756,4.34
757,7.33
758,5
759,9
760,4.33
761,6.34
762,14.33
763,8
764,8.34
765,5.66
766,5.33
767,3.66
768,6.33
769,7
770,4.34
771,1.66
772,5.99
773,2.67
774,5.84
775,5.33
776,7.33
777,3
778,2.34
779,4
780,10.33
781,6.34
782,3
783,3
784,7.66
785,7.99
786,5
787,8
788,8
789,7
790,10
791,3.33
792,2.83
793,5
794,5
795,5
796,5.33
797,4
798,4.34
799,6.33
800,3.33
801,3
802,2.5
803,4.33
804,5.33
805,5.33
806,5.66
807,3.34
808,10.66
809,7.99
810,5
811,2.33
812,4
813,6.84
814,7
815,2.5
816,7.83
817,3.34
818,5.68
819,7.16
820,2.33
821,6.33
822,3.67
823,9.67
824,7
825,6
826,6.66
827,6.33
828,7.67
829,9
830,5
831,0.33
832,4.34
833,6.33
834,2.66
835,4.33
836,5.34
837,4.33
838,3.66
839,3
840,2.66
841,3
842,6
843,13.66
844,1
845,6.67
846,5.33
847,5.66
848,4.66
849,6.66
850,9.66
851,0
852,4
853,6.33
854,7.34
855,4.66
856,4
857,3.99
858,5
859,5.67
860,7.33
861,5.33
862,3.01
863,2.33
864,5.34
865,5.33
866,5
867,4
868,4
869,6.34
870,3
871,2
872,4.34
873,5
874,12
875,8.34
876,4.67
877,8.67
878,12.33
879,8.67
880,3.34
881,6
882,9
883,2.33
884,7.33
885,3.33
886,10.34
887,5.33
888,6
889,8.66
890,8.67
891,8.33
892,10.66
893,8.34
894,5.66
895,2.33
896,5
897,4
898,3.34
899,2
900,6.34
901,7.34
902,7.33
903,2
904,3
905,6
906,5.68
907,3
908,6
909,1.33
910,7
911,4
912,4
913,4.66
914,6.67
915,8.34
916,6
917,9.33
918,7.34
919,1.34
920,3.33
921,5.66
922,6.33
923,5.67
924,6.218333333
925,2.34
926,3
927,9.33
928,9.01
929,6
930,7.34
931,10.33
932,5.66
933,3.33
934,4.66
935,2.33
936,13
937,8.32
938,3
939,9.67
940,9.99
941,6.33
942,6
943,8.33
944,8.33
945,8
946,8
947,10.33
948,3
949,8
950,8.34
951,6.33
952,11.34
953,5.67
954,8.66
955,8
956,5
957,5
958,10
959,8.66
960,6.99
961,1
962,4.33
963,8
964,3.34
965,3
966,9.33
967,4.33
968,4
969,8.83
970,7.33
971,9
972,4.66
973,6
974,5
975,9.34
976,5.33
977,8.33
978,3.32
979,5
980,2.33
981,6
982,4.99
983,8.33
984,2.66
985,7
986,7
987,6
988,3
989,2
990,6.67
991,5.99
992,4
993,4.67
994,8.34
995,6.33
996,2.33
997,2
998,6
999,5.99
1000,7
1001,13.68
1002,7.33
1003,7
1004,7.33
1005,17
1006,3.33
1007,6.33
1008,4
1009,4.33
1010,4.34
1011,7.34
1012,6.68
1013,2
1014,7.33
1015,8.33
1016,4.66
1017,7
1018,4
1019,8.33
1020,2
1021,3
1022,4.33
1023,1.64
1024,8.66
1025,7
1026,12.33
1027,2.66
1028,4.33
1029,2.33
1030,6.5
1031,7
1032,15.33
1033,4.66
1034,2.66
1035,2.33
1036,4
1037,2
1038,8.33
1039,7.666666667
1040,8
1041,5
1042,7
1043,2.34
1044,7.33
1045,10.66
1046,8
1047,6
1048,10
1049,5.33
1050,4
1051,5
1052,1.33
1053,5
1054,7
1055,1.34
1056,4.01
1057,3
1058,8.67
1059,7.34
1060,3.33
1061,9.33
1062,4.5
1063,5.68
1064,3.33
1065,4.5
1066,6
1067,3.17
1068,7
1069,9.5
1070,6
1071,4.34
1072,5.67
1073,5.66
1074,7.34
1075,3.34
1076,3.66
1077,1
1078,5.83
1079,9.66
1080,7.33
1081,5.99
1082,1.67
1083,0
1084,6.33
1085,1.34
1086,4.34
1087,5.33
1088,6.33
1089,2.33
1090,10.33
1091,6
1092,4.34
1093,11
1094,5.66
1095,8.33
1096,3.54375
1097,0.2125
1098,6.25
1099,6.804166667
1100,7.504166667
1101,4.583333333
1102,2.916666667
1103,5.416666667
1104,3.8875
1105,6.3875
1106,9.308333333
1107,8.333333333
1108,6.804166667
1109,5.975
1110,8.05
1111,6.670833333
1112,7.225
1113,6.741666667
1114,5
1115,3.608333333
1116,5.695833333
1117,4.5125
1118,5.1375
1119,6.1125
1120,7.779166667
1121,5.979166667
1122,7.85
1123,5.970833333
1124,5.141666667
1125,8.058333333
1126,4.441666667
1127,7.375
1128,8.195833333
1129,7.6375
1130,7.779166667
1131,10.67
1132,10
1133,3
1134,11
1135,3.9825
1136,4.01
1137,5.33
1138,10
1139,0
1140,4.33
1141,6
1142,3.66
1143,3
1144,7
1145,3.34
1146,5
1147,5
1148,3.67
1149,6.67
1150,1
1151,6
1152,5.33
1153,5.67
1154,5.34
1155,4
1156,5
1157,9
1158,5.01
1159,12.33
1160,6.83
1161,2.34
1162,1
1163,11.33
1164,2
1165,6.33
1166,7.68
1167,2.33
1168,2.67
1169,3.66
1170,6
1171,4.33
1172,5
1173,10
1174,1.66
1175,9.16
1176,1.66
1177,7.34
1178,1.67
1179,10
1180,5.34
1181,4.84
1182,2.67
1183,6.34
1184,1.33
1185,4
1186,2.33
1187,6.67
1188,6.33
1189,0.33
1190,5
1191,5
1192,3.5
1193,7.51
1194,4.99
1195,8.66
1196,4
1197,11.99
1198,5
1199,7.34
1200,11.67
1201,0
1202,4
1203,7.33
1204,1
1205,4.66
1206,3.67
1207,2.64
1208,9
1209,9.33
1210,8
1211,3
1212,3.33
1213,3.33
1214,5
1215,1
1216,0.34
1217,2
1218,1.33
1219,5.67
1220,2.34
1221,7.33
1222,6.33
1223,2.33
1224,7.33
1225,8.66
1226,6
1227,4.99
1228,5
1229,4.67
1230,5.34
1231,2.33
1232,6.34
1233,3.33
1234,4.34
1235,3.99
1236,6
1237,5.33
1238,3
1239,6.68
1240,5.66
1241,2.34
1242,7.33
1243,1.99
1244,3.34
1245,8
1246,4
1247,1.34
1248,2.33
1249,5
1250,7
1251,3.33
1252,1
1253,5.33
1254,5
1255,1.33
1256,9
1257,5.5
1258,4.34
1259,2.99
1260,1.33
1261,3
1262,4
1263,2
1264,4
1265,1.33
1266,9.33
1267,4
1268,1
1269,1
1270,5
1271,6.5
1272,7.68
1273,4
1274,4
1275,4
1276,6.67
1277,3.33
1278,5
1279,3.67
1280,10.67
1281,4.5
1282,4.33
1283,5
1284,4.99
1285,2.33
1286,2
1287,3.34
1288,2
1289,3.33
1290,2.33
1291,3.33
1292,11.34
1293,9
1294,9.67
1295,6.33
1296,5
1297,2.33
1298,3
1299,6.5
1300,3.84
1301,6.34
1302,3.33
1303,5
1304,4
1305,3
1306,4.125
1307,7.34
1308,7.33
1309,6
1310,6.33
1311,8
1312,4.66
1313,2
1314,1
1315,6
1316,2.33
1317,0
1318,4.33
1319,2.69
1320,3.66
1321,11.34
1322,2.33
1323,5.33
1324,5.16
1325,2.33
1326,5
1327,4.33
1328,9.33
1329,6
1330,3.33
1331,8
1332,6
1333,4.99
1334,3
1335,8
1336,7
1337,7.67
1338,16.68
1339,3.34
1340,6.34
1341,6.83
1342,6.5
1343,6.17
1344,4.33
1345,3
1346,8.83
1347,6
1348,3.34
1349,2
1350,1
1351,4
1352,5
1353,3
1354,7
1355,5
1356,9
1357,3.33
1358,2
1359,7.34
1360,4.66
1361,9.99
1362,3.66
1363,1
1364,2
1365,4
1366,3.34
1367,1
1368,5.33
1369,4
1370,8.33
1371,0.34
1372,2
1373,5.33
1374,3.99
1375,4
1376,8.67
1377,0
1378,10
1379,3.5
1380,4
1381,5.33
1382,4.84
1383,6
1384,2.33
1385,3.34
1386,5.34
1387,4.33
1388,2.83
1389,3.33
1390,8
1391,3.33
1392,2
1393,6.34
1394,1.33
1395,6.32
1396,5
1397,7.66
1398,1.5
1399,4.33
1400,0.67
1401,4
1402,2.33
1403,10.34
1404,6.33
1405,8.34
1406,0.67
1407,6
1408,2.67
1409,9.34
1410,8.5
1411,5
1412,9.33
1413,3
1414,5.33
1415,5.33
1416,3
1417,5.33
1418,4
1419,2.34
1420,13.33
1421,2
1422,9.33
1423,8
1424,5.33
1425,5.66
1426,1.34
1427,5
1428,6.34
1429,5.67
1430,10.33
1431,4.33
1432,5.33
1433,1
1434,3.68
1435,4
1436,3
1437,5.33
1438,5
1439,5
1440,8
1441,1.33
1442,4
1443,3
1444,4.18
1445,11
1446,7
1447,0.66
1448,0
1449,2
1450,2.02
1451,5.99
1452,6
1453,7.66
1454,1
1455,2.99
1456,7
1457,7.33
1458,9.34
1459,8.68
1460,13.83
1461,0
1462,1
1463,4.67
1464,6
1465,12
1466,4.66
1467,0
1468,2.33
1469,5.33
1470,9.33
1471,4
1472,5.66
1473,3.5
1474,4.33
1475,6.99
1476,6.34
1477,6.67
1478,4.33
1479,6.33
1480,2.66
1481,3.33
1482,6
1483,1
1484,7.33
1485,3.66
1486,3
1487,3.34
1488,1.5
1489,2.33
1490,4.33
1491,0.33
1492,5.34
1493,2.33
1494,4.33
1495,7.99
1496,7.33
1497,4.34
1498,4.84
1499,6.33
1500,3
1501,10.01
1502,6.33
1503,8
1504,6
1505,1
1506,1.5
1507,7.68
1508,1.33
1509,6
1510,1
1511,4.18
1512,1.34
1513,5
1514,5.83
1515,8
1516,4
1517,1
1518,3.33
1519,1
1520,1
1521,4
1522,8
1523,1
1524,4.33
1525,9.5
1526,4.5
1527,1.33
1528,6.33
1529,6
1530,4.66
1531,9
1532,2
1533,2.34
1534,3.34
1535,3.33
1536,3.99
1537,7.33
1538,4.34
1539,2.67
1540,2
1541,3
1542,5
1543,7
1544,4
1545,5
1546,4.34
1547,5.5
1548,7
1549,5.33
1550,9
1551,6.83
1552,5.66
1553,1
1554,6.01
1555,6.33
1556,3.67
1557,16.18
1558,0
1559,5
1560,2
1561,6.67
1562,5
1563,4.5
1564,8
1565,7.66
1566,2
1567,3.34
1568,5
1569,5
1570,5
1571,3.5
1572,6
1573,7
1574,6
1575,9
1576,5.33
1577,6.68
1578,9.33
1579,7.33
1580,5
1581,2.34
1582,6
1583,2.33
1584,1
1585,9
1586,3.34
1587,9.66
1588,10.5
1589,9.34
1590,8.5
1591,9.33
1592,1.33
1593,5.16
1594,6
1595,4
1596,4.01
1597,2
1598,2.34
1599,2.34
1600,7
1601,12
1602,3.67
1603,1.5
1604,2
1605,2.33
1606,3.33
1607,6.33
1608,7
1609,9
1610,4.34
1611,3.5
1612,12.33
1613,8
1614,5
1615,3.33
1616,4.33
1617,6
1618,2
1619,4
1620,8
1621,2.66
1622,8
1623,2.34
1624,12
1625,0
1626,1
1627,3.34
1628,4.84
1629,4.5
1630,4
1631,3.66
1632,3.35
1633,5
1634,5.33
1635,1.67
1636,3.33
1637,10.33
1638,2
1639,3
1640,1
1641,6.84
1642,2
1643,3.33
1644,6.34
1645,1
1646,4.33
1647,2.33
1648,6.33
1649,7.33
1650,3.33
1651,6
1652,10
1653,3
1654,1.34
1655,0
1656,10
1657,9.33
1658,2.33
1659,2.5
1660,6.84
1661,5
1662,4
1663,3.66
1664,8.68
1665,9.68
1666,5
1667,4.33
1668,2.34
1669,6
1670,3.5
1671,3
1672,7.33
1673,1
1674,0
1675,4.01
1676,5
1677,6
1678,8.33
1679,2.33
1680,4.33
1681,2.67
1682,6
1683,4
1684,10.99
1685,3.33
1686,1.33
1687,8.34
1688,3.33
1689,2.33
1690,6.33
1691,6.33
1692,4
1693,2.34
1694,5
1695,5
1696,4
1697,3.67
1698,11.33
1699,3.34
1700,2
1701,6.67
1702,2.33
1703,4.34
1704,2.34
1705,6.68
1706,1
1707,4
1708,6.5
1709,6.66
1710,2
1711,10
1712,4
1713,7
1714,9
1715,4
1716,2.83
1717,8
1718,6
1719,3.33
1720,3
1721,4.34
1722,6
1723,2
1724,4.66
1725,6
1726,7.34
1727,7.33
1728,6
1729,3
1730,4
1731,2
1732,3.5
1733,11.01
1734,3
1735,6
1736,6
1737,6
1738,4.84
1739,2
1740,2.68
1741,4
1742,2
1743,9
1744,2
1745,6.33
1746,6.99
1747,2.34
1748,7.17
1749,6
1750,2.33
1751,4.34
1752,4
1753,2.34
1754,6.67
1755,2.66
1756,2.34
1757,4
1758,5.33
1759,4
1760,8.34
1761,5.33
1762,5.35
1763,9.33
1764,2
1765,7.84
1766,5.14
1767,3
1768,13.99
1769,6.33
1770,3.33
1771,7
1772,3
1773,5
1774,4.33
1775,11
1776,2.34
1777,6.33
1778,5.66
1779,2
1780,8.33
1781,8
1782,4.68
1783,6.01
1784,5.33
1785,7
1786,8
1787,6
1788,5.66
1789,5.33
1790,5.33
1791,8
1792,3
1793,4.33
1794,1
1795,7
1796,3.17
1797,6
1798,2.5
1799,5.33
1800,0
1801,5
1802,0
1803,4.66
1804,4
1805,4
1806,4.33
1807,3.68
1808,2
1809,4
1810,1.33
1811,6.34
1812,0.33
1813,0
1814,8.34
1815,2
1816,8.34
1817,12.33
1818,8.67
1819,8
1820,1
1821,3.68
1822,11.67
1823,6.68
1824,5.33
1825,8
1826,0
1827,5.33
1828,4.33
1829,7
1830,8.01
1831,8.33
1832,0
1833,4.34
1834,3
1835,8
1836,5.33
1837,6.66
1838,8.33
1839,9
1840,4.33
1841,7.5
1842,5.34
1843,6.33
1844,7.02
1845,11.67
1846,4.34
1847,6.83
1848,3.33
1849,4
1850,2.33
1851,7
1852,10.52
1853,8.5
1854,5
1855,6.33
1856,1.67
1857,11.34
1858,13.34
1859,6
1860,6.33
1861,5.33
1862,6.34
1863,2.33
1864,2
1865,6.68
1866,3.34
1867,8
1868,6.66
1869,4
1870,2.33
1871,5.34
1872,6.34
1873,2.34
1874,3.34
1875,3.33
1876,2.34
1877,1.66
1878,2.33
1879,5.01
1880,4.34
1881,5.34
1882,2.33
1883,5
1884,0.67
1885,1.33
1886,4.01
1887,8
1888,5.33
1889,3.01
1890,0.34
1891,7.33
1892,2.33
1893,6.34
1894,5.83
1895,14.66
1896,4.33
1897,2.67
1898,4
1899,2.83
1900,8.34
1901,6.68
1902,2.33
1903,9
1904,5.67
1905,2.33
1906,4.66
1907,6
1908,6
1909,4.84
1910,4
1911,6.34
1912,1.33
1913,3
1914,4.66
1915,7
1916,3.01
1917,7.67
1918,5.33
1919,4.5
1920,6.34
1921,3.34
1922,6
1923,5
1924,2.83
1925,2.34
1926,7.33
1927,4.33
1928,4.5
1929,4
1930,4.66
1931,2
1932,7
1933,0
1934,3.34
1935,9
1936,3.84
1937,8.67
1938,9
1939,2.34
1940,14.01
1941,6.34
1942,17.34
1943,0
1944,5.33
1945,2
1946,2.34
1947,1.68
1948,4.01
1949,9
1950,7
1951,4.68
1952,2.66
1953,9
1954,5
1955,5
1956,5.34
1957,4.67
1958,5
1959,6.67
1960,4
1961,5
1962,2.66
1963,10
1964,6.67
1965,3.67
1966,5.34
1967,8.16
1968,2.33
1969,5.34
1970,11
1971,6.33
1972,4.67
1973,4.33
1974,5.5
1975,5
1976,5.99
1977,3
1978,4
1979,0.33
1980,6.34
1981,5
1982,7.67
1983,6
1984,3
1985,9.33
1986,3
1987,11.34
1988,8
1989,0.68
1990,3.18
1991,7
1992,4
1993,6.66
1994,5
1995,3.67
1996,5
1997,3
1998,3
1999,9.33
2000,10
2001,2.34
2002,2
2003,8.16
2004,4.33
2005,1.18
2006,6
2007,5.33
2008,5.66
2009,4
2010,5.33
2011,4.33
2012,4.34
2013,5.66
2014,6
2015,2.67
2016,10
2017,3.33
2018,11
2019,5
2020,6
2021,7.33
2022,7
2023,3.99
2024,11
2025,7.33
2026,4.34
2027,6.34
2028,1
2029,1.34
2030,8
2031,6
2032,12.5
2033,3.34
2034,4.34
2035,9
2036,9.5
2037,0
2038,8.67
2039,5
2040,5.34
2041,6.5
2042,4
2043,10
2044,6
2045,7.66
2046,3
2047,3.33
2048,7
2049,8.33
2050,8
2051,4.34
2052,8.67
2053,3.33
2054,7.67
2055,4.84
2056,3.68
2057,2
2058,4.34
2059,5.34
2060,9.67
2061,13.84
2062,3
2063,2.67
2064,2.34
2065,3.33
2066,9
2067,6.34
2068,4.68
2069,2
2070,5.33
2071,9.36
2072,2
2073,7
2074,1.68
2075,8.33
2076,7.01
2077,1.18
2078,8.66
2079,2.67
2080,2.33
2081,6.34
2082,8.99
2083,5.34
2084,9.33
2085,4.5
2086,6.33
2087,7.33
2088,5.34
2089,10.68
2090,3.33
2091,5.34
2092,2
2093,6
2094,5.5
2095,4.66
2096,7
2097,3.51
2098,2
2099,11.34
2100,5.18
2101,5
2102,7.34
2103,3.84
2104,4
2105,7.34
2106,0.33
